alias,real_name,definition,category,db_table,db_column,db_type
Hedged share class,Hedged share class,Risk/management concept,Risk/Other,risk_metrics,metric_id,bigint
Benchmark aware,Benchmark aware,Performance/risk metric,Portfolio Metrics,trades,term_code,text
Benchmark agnostic,Benchmark agnostic,Performance/risk metric,Portfolio Metrics,portfolios,term_code,text
Min variance,Min variance,Risk/management concept,Risk/Other,risk_metrics,term_code,text
Inverse-vol weight,Inverse-vol weight,Advanced options/vol concept,Options & Vol,trades,counterparty_id,integer
Beta-neutral,Beta-neutral,Portfolio construction concept or control,Portfolio Construction,portfolios,weight,numeric
Dollar-neutral,Dollar-neutral,Portfolio construction concept or control,Portfolio Construction,risk_metrics,greek,text
Market-neutral,Market-neutral,Performance/risk metric,Portfolio Metrics,trades,notional,numeric
Pairs trade,Pairs trade,Execution microstructure term,Execution/Market Micro,portfolios,rebalance_date,date
Stat arb,Stat arb,Risk/management concept,Risk/Other,risk_metrics,value_date,date
Cointegration,Cointegration,Performance/risk metric,Portfolio Metrics,trades,trade_ts,timestamp
Cluster risk,Cluster risk,Risk/management concept,Risk/Other,portfolios,strategy_code,text
Common factor,Common factor,Risk/management concept,Risk/Other,risk_metrics,metric_value,numeric
Idiosyncratic risk,Idiosyncratic risk,Risk/management concept,Risk/Other,trades,trade_id,bigint
Specific risk,Specific risk,Risk/management concept,Risk/Other,portfolios,portfolio_id,bigint
Tracking error vol,Tracking error vol,Performance/risk metric,Portfolio Metrics,risk_metrics,metric_id,bigint
Active risk,Active risk,Risk/management concept,Risk/Other,trades,term_code,text
Active return,Active return,Risk/management concept,Risk/Other,portfolios,term_code,text
Policy portfolio,Policy portfolio,Portfolio construction concept or control,Portfolio Construction,risk_metrics,term_code,text
Reference portfolio,Reference portfolio,Portfolio construction concept or control,Portfolio Construction,trades,counterparty_id,integer
Capital allocation line,Capital allocation line,Portfolio construction concept or control,Portfolio Construction,portfolios,weight,numeric
Security market line,Security market line,Performance/risk metric,Portfolio Metrics,risk_metrics,greek,text
Efficient frontier,Efficient frontier,Portfolio construction concept or control,Portfolio Construction,trades,notional,numeric
Opportunity set,Opportunity set,Risk/management concept,Risk/Other,portfolios,rebalance_date,date
Budget constraint,Budget constraint,Portfolio construction concept or control,Portfolio Construction,risk_metrics,value_date,date
Lagrange multiplier,Lagrange multiplier,Risk/management concept,Risk/Other,trades,trade_ts,timestamp
Karush-Kuhn-Tucker,Karush-Kuhn-Tucker,Risk/management concept,Risk/Other,portfolios,strategy_code,text
Corner solution,Corner solution,Risk/management concept,Risk/Other,risk_metrics,metric_value,numeric
Binding constraint,Binding constraint,Portfolio construction concept or control,Portfolio Construction,trades,trade_id,bigint
Shadow NAV,Shadow NAV,Risk/management concept,Risk/Other,portfolios,portfolio_id,bigint
Liquidity sleeve,Liquidity sleeve,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_id,bigint
Bridge portfolio,Bridge portfolio,Portfolio construction concept or control,Portfolio Construction,trades,term_code,text
Transition management,Transition management,Portfolio construction concept or control,Portfolio Construction,portfolios,term_code,text
In-kind transfer,In-kind transfer,Risk/management concept,Risk/Other,risk_metrics,term_code,text
Cross trade,Cross trade,Execution microstructure term,Execution/Market Micro,trades,counterparty_id,integer
Block trade,Block trade,Execution microstructure term,Execution/Market Micro,portfolios,weight,numeric
Optimization run,Optimization run,Risk/management concept,Risk/Other,risk_metrics,greek,text
Rebalance run,Rebalance run,Portfolio construction concept or control,Portfolio Construction,trades,notional,numeric
Look-through,Look-through,Risk/management concept,Risk/Other,portfolios,rebalance_date,date
Risk netting,Risk netting,Risk/management concept,Risk/Other,risk_metrics,value_date,date
Sleeve netting,Sleeve netting,Portfolio construction concept or control,Portfolio Construction,trades,trade_ts,timestamp
Overlay netting,Overlay netting,Portfolio construction concept or control,Portfolio Construction,portfolios,strategy_code,text
TE constraint,Tracking error constraint,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_value,numeric
TE contribution,Tracking error contribution,Risk/management concept,Risk/Other,trades,trade_id,bigint
IR target,Information ratio target,Portfolio construction concept or control,Portfolio Construction,portfolios,portfolio_id,bigint
Vol budget,Vol budget,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_id,bigint
Risk cap,Risk cap,Risk/management concept,Risk/Other,trades,term_code,text
Risk floor,Risk floor,Risk/management concept,Risk/Other,portfolios,term_code,text
Band breach,Band breach,Portfolio construction concept or control,Portfolio Construction,risk_metrics,term_code,text
Drift threshold,Drift threshold,Risk/management concept,Risk/Other,trades,counterparty_id,integer
Cash sweep,Cash sweep,Risk/management concept,Risk/Other,portfolios,weight,numeric
De minimis rule,De minimis rule,Risk/management concept,Risk/Other,risk_metrics,greek,text
Wash sale check,Wash sale check,Risk/management concept,Risk/Other,trades,notional,numeric
Lot selection,Lot selection,Execution microstructure term,Execution/Market Micro,portfolios,rebalance_date,date
HIFO,"Highest-in, first-out",Risk/management concept,Risk/Other,risk_metrics,value_date,date
LIFO,"Last-in, first-out",Risk/management concept,Risk/Other,trades,trade_ts,timestamp
Tax lot,Tax lot,Execution microstructure term,Execution/Market Micro,portfolios,strategy_code,text
Tax budget,Tax budget,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_value,numeric
After-tax alpha,After-tax alpha,Portfolio construction concept or control,Portfolio Construction,trades,trade_id,bigint
Gross alpha,Gross alpha,Portfolio construction concept or control,Portfolio Construction,portfolios,portfolio_id,bigint
Net alpha,Net alpha,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_id,bigint
Pre-cost alpha,Pre-cost alpha,Portfolio construction concept or control,Portfolio Construction,trades,term_code,text
Slippage budget,Slippage budget,Portfolio construction concept or control,Portfolio Construction,portfolios,term_code,text
Impact cost,Impact cost,Risk/management concept,Risk/Other,risk_metrics,term_code,text
Commission drag,Commission drag,Risk/management concept,Risk/Other,trades,counterparty_id,integer
Capacity limit,Capacity limit,Risk/management concept,Risk/Other,portfolios,weight,numeric
Realized TE,Realized tracking error,Performance/risk metric,Portfolio Metrics,risk_metrics,greek,text
Ex-ante TE,Ex-ante tracking error,Performance/risk metric,Portfolio Metrics,trades,notional,numeric
Ex-post TE,Ex-post tracking error,Performance/risk metric,Portfolio Metrics,portfolios,rebalance_date,date
TE decomposition,TE decomposition,Risk/management concept,Risk/Other,risk_metrics,value_date,date
VaR budget,VaR budget,Portfolio construction concept or control,Portfolio Construction,trades,trade_ts,timestamp
ES budget,Expected shortfall budget,Portfolio construction concept or control,Portfolio Construction,portfolios,strategy_code,text
Shortfall risk,Shortfall risk,Risk/management concept,Risk/Other,risk_metrics,metric_value,numeric
CVaR,Conditional Value at Risk,Risk/management concept,Risk/Other,trades,trade_id,bigint
Expected shortfall,Expected shortfall,Risk/management concept,Risk/Other,portfolios,portfolio_id,bigint
Omega ratio,Omega ratio,Performance/risk metric,Portfolio Metrics,risk_metrics,metric_id,bigint
Sortino ratio,Sortino ratio,Performance/risk metric,Portfolio Metrics,trades,term_code,text
Upside capture,Upside capture,Risk/management concept,Risk/Other,portfolios,term_code,text
Downside capture,Downside capture,Risk/management concept,Risk/Other,risk_metrics,term_code,text
Hit ratio (PC),Hit ratio (PC),Performance/risk metric,Portfolio Metrics,trades,counterparty_id,integer
Batting average,Batting average,Risk/management concept,Risk/Other,portfolios,weight,numeric
Win-loss ratio,Win-loss ratio,Performance/risk metric,Portfolio Metrics,risk_metrics,greek,text
Payoff ratio,Payoff ratio,Performance/risk metric,Portfolio Metrics,trades,notional,numeric
Pain ratio,Pain ratio,Performance/risk metric,Portfolio Metrics,portfolios,rebalance_date,date
Ulcer index,Ulcer index,Risk/management concept,Risk/Other,risk_metrics,value_date,date
MAR ratio,MAR ratio,Performance/risk metric,Portfolio Metrics,trades,trade_ts,timestamp
Sterling ratio,Sterling ratio,Performance/risk metric,Portfolio Metrics,portfolios,strategy_code,text
M2 measure,Modigliani–Modigliani measure,Performance/risk metric,Portfolio Metrics,risk_metrics,metric_value,numeric
Appraisal ratio,Appraisal ratio,Performance/risk metric,Portfolio Metrics,trades,trade_id,bigint
Treynor ratio,Treynor ratio,Performance/risk metric,Portfolio Metrics,portfolios,portfolio_id,bigint
Beta crowding,Beta crowding,Risk/management concept,Risk/Other,risk_metrics,metric_id,bigint
Factor neutrality,Factor neutrality,Portfolio construction concept or control,Portfolio Construction,trades,term_code,text
Sector neutrality,Sector neutrality,Portfolio construction concept or control,Portfolio Construction,portfolios,term_code,text
Country neutrality,Country neutrality,Portfolio construction concept or control,Portfolio Construction,risk_metrics,term_code,text
ESG tilt,ESG tilt,Portfolio construction concept or control,Portfolio Construction,trades,counterparty_id,integer
Carbon budget,Carbon budget,Portfolio construction concept or control,Portfolio Construction,portfolios,weight,numeric
Temperature alignment,Temperature alignment,Risk/management concept,Risk/Other,risk_metrics,greek,text
Green revenue,Green revenue,Execution microstructure term,Execution/Market Micro,trades,notional,numeric
Brown revenue,Brown revenue,Execution microstructure term,Execution/Market Micro,portfolios,rebalance_date,date
Scope 1 intensity,Scope 1 intensity,Risk/management concept,Risk/Other,risk_metrics,value_date,date
Scope 2 intensity,Scope 2 intensity,Risk/management concept,Risk/Other,trades,trade_ts,timestamp
Scope 3 intensity,Scope 3 intensity,Risk/management concept,Risk/Other,portfolios,strategy_code,text
Net zero pathway,Net zero pathway,Risk/management concept,Risk/Other,risk_metrics,metric_value,numeric
Engagement overlay,Engagement overlay,Portfolio construction concept or control,Portfolio Construction,trades,trade_id,bigint
Negative screening,Negative screening,Risk/management concept,Risk/Other,portfolios,portfolio_id,bigint
Best-in-class,Best-in-class,Risk/management concept,Risk/Other,risk_metrics,metric_id,bigint
Tilting,Tilting,Portfolio construction concept or control,Portfolio Construction,trades,term_code,text
Thematic sleeve,Thematic sleeve,Portfolio construction concept or control,Portfolio Construction,portfolios,term_code,text
Impact sleeve,Impact sleeve,Portfolio construction concept or control,Portfolio Construction,risk_metrics,term_code,text
SDG mapping,SDG mapping,Risk/management concept,Risk/Other,trades,counterparty_id,integer
Liquidity ladder,Liquidity ladder,Risk/management concept,Risk/Other,portfolios,weight,numeric
Cash buffer,Cash buffer,Risk/management concept,Risk/Other,risk_metrics,greek,text
Settlement buffer,Settlement buffer,Risk/management concept,Risk/Other,trades,notional,numeric
Overlay cash,Overlay cash,Portfolio construction concept or control,Portfolio Construction,portfolios,rebalance_date,date
Synthetic exposure,Synthetic exposure,Risk/management concept,Risk/Other,risk_metrics,value_date,date
Proxy hedge,Proxy hedge,Risk/management concept,Risk/Other,trades,trade_ts,timestamp
Proxy beta,Proxy beta,Risk/management concept,Risk/Other,portfolios,strategy_code,text
Beta overlay,Beta overlay,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_value,numeric
Overlay delta,Overlay delta,Portfolio construction concept or control,Portfolio Construction,trades,trade_id,bigint
Overlay gamma,Overlay gamma,Portfolio construction concept or control,Portfolio Construction,portfolios,portfolio_id,bigint
Rebalance cadence,Rebalance cadence,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_id,bigint
Staggered rebalance,Staggered rebalance,Portfolio construction concept or control,Portfolio Construction,trades,term_code,text
Calendar rebalance,Calendar rebalance,Portfolio construction concept or control,Portfolio Construction,portfolios,term_code,text
Tolerance band,Tolerance band,Portfolio construction concept or control,Portfolio Construction,risk_metrics,term_code,text
Adaptive bands,Adaptive bands,Portfolio construction concept or control,Portfolio Construction,trades,counterparty_id,integer
Event-driven rebalance,Event-driven rebalance,Portfolio construction concept or control,Portfolio Construction,portfolios,weight,numeric
Shock absorber,Shock absorber,Risk/management concept,Risk/Other,risk_metrics,greek,text
Vol control,Vol control,Advanced options/vol concept,Options & Vol,trades,notional,numeric
Risk control,Risk control,Portfolio construction concept or control,Portfolio Construction,portfolios,rebalance_date,date
Drawdown control,Drawdown control,Risk/management concept,Risk/Other,risk_metrics,value_date,date
Circuit breaker (PC),Circuit breaker (PC),Risk/management concept,Risk/Other,trades,trade_ts,timestamp
De-lever switch,De-lever switch,Risk/management concept,Risk/Other,portfolios,strategy_code,text
Re-lever switch,Re-lever switch,Risk/management concept,Risk/Other,risk_metrics,metric_value,numeric
Notional scaling,Notional scaling,Risk/management concept,Risk/Other,trades,trade_id,bigint
Target notional,Target notional,Portfolio construction concept or control,Portfolio Construction,portfolios,portfolio_id,bigint
Target risk,Target risk,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_id,bigint
Risk-on overlay,Risk-on overlay,Portfolio construction concept or control,Portfolio Construction,trades,term_code,text
Risk-off overlay,Risk-off overlay,Portfolio construction concept or control,Portfolio Construction,portfolios,term_code,text
Cushion,Cushion,Risk/management concept,Risk/Other,risk_metrics,term_code,text
Merton line,Merton line,Risk/management concept,Risk/Other,trades,counterparty_id,integer
Floor value,Floor value,Risk/management concept,Risk/Other,portfolios,weight,numeric
Cushion ratio,Cushion ratio,Performance/risk metric,Portfolio Metrics,risk_metrics,greek,text
CPPI,Constant Proportion Portfolio Insurance,Portfolio construction concept or control,Portfolio Construction,trades,notional,numeric
OBPI,Option-Based Portfolio Insurance,Portfolio construction concept or control,Portfolio Construction,portfolios,rebalance_date,date
LHP,Liability-hedging portfolio,Portfolio construction concept or control,Portfolio Construction,risk_metrics,value_date,date
ALM hedge,ALM hedge,Portfolio construction concept or control,Portfolio Construction,trades,trade_ts,timestamp
Roll yield capture,Roll yield capture,Risk/management concept,Risk/Other,portfolios,strategy_code,text
Carry sleeve,Carry sleeve,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_value,numeric
Basis sleeve,Basis sleeve,Portfolio construction concept or control,Portfolio Construction,trades,trade_id,bigint
Term-structure tilt,Term-structure tilt,Portfolio construction concept or control,Portfolio Construction,portfolios,portfolio_id,bigint
Curve carry,Curve carry,Risk/management concept,Risk/Other,risk_metrics,metric_id,bigint
Cross-gamma hedge,Cross-gamma hedge,Advanced options/vol concept,Options & Vol,trades,term_code,text
Sticky gamma,Sticky gamma,Advanced options/vol concept,Options & Vol,portfolios,term_code,text
Gamma scalping,Gamma scalping,Advanced options/vol concept,Options & Vol,risk_metrics,term_code,text
Vanna,Vanna,Advanced options/vol concept,Options & Vol,trades,counterparty_id,integer
Volga,Volga,Advanced options/vol concept,Options & Vol,portfolios,weight,numeric
Charm,Charm,Advanced options/vol concept,Options & Vol,risk_metrics,greek,text
Color,Color,Advanced options/vol concept,Options & Vol,trades,notional,numeric
Speed,Speed,Advanced options/vol concept,Options & Vol,portfolios,rebalance_date,date
Zomma,Zomma,Advanced options/vol concept,Options & Vol,risk_metrics,value_date,date
Derman-Kani,Derman-Kani,Risk/management concept,Risk/Other,trades,trade_ts,timestamp
Heston model,Heston model,Advanced options/vol concept,Options & Vol,portfolios,strategy_code,text
SABR,SABR,Advanced options/vol concept,Options & Vol,risk_metrics,metric_value,numeric
Local vol,Local vol,Advanced options/vol concept,Options & Vol,trades,trade_id,bigint
Stochastic vol,Stochastic vol,Advanced options/vol concept,Options & Vol,portfolios,portfolio_id,bigint
Regime switch,Regime switch,Risk/management concept,Risk/Other,risk_metrics,metric_id,bigint
Jump diffusion,Jump diffusion,Advanced options/vol concept,Options & Vol,trades,term_code,text
Quanto adjustment,Quanto adjustment,Advanced options/vol concept,Options & Vol,portfolios,term_code,text
Convexity correction,Convexity correction,Advanced options/vol concept,Options & Vol,risk_metrics,term_code,text
TCA,Transaction Cost Analysis,Execution microstructure term,Execution/Market Micro,trades,counterparty_id,integer
Slippage audit,Slippage audit,Execution microstructure term,Execution/Market Micro,portfolios,weight,numeric
Venue analysis,Venue analysis,Execution microstructure term,Execution/Market Micro,risk_metrics,greek,text
T-CA bench,T-CA bench,Risk/management concept,Risk/Other,trades,notional,numeric
IS analysis,Implementation shortfall analysis,Risk/management concept,Risk/Other,portfolios,rebalance_date,date
Arrival price,Arrival price,Risk/management concept,Risk/Other,risk_metrics,value_date,date
Implementation shortfall,Implementation shortfall,Risk/management concept,Risk/Other,trades,trade_ts,timestamp
Parent order,Parent order,Execution microstructure term,Execution/Market Micro,portfolios,strategy_code,text
Child order,Child order,Execution microstructure term,Execution/Market Micro,risk_metrics,metric_value,numeric
Slice size,Slice size,Risk/management concept,Risk/Other,trades,trade_id,bigint
Passive fill,Passive fill,Risk/management concept,Risk/Other,portfolios,portfolio_id,bigint
Aggressive fill,Aggressive fill,Risk/management concept,Risk/Other,risk_metrics,metric_id,bigint
Queue position,Queue position,Execution microstructure term,Execution/Market Micro,trades,term_code,text
Order imbalance,Order imbalance,Execution microstructure term,Execution/Market Micro,portfolios,term_code,text
